Map,Agent1,Agent2,Agent3,Agent4,Agent5,Rank,Avg_Winrate
Fracture,Harbor,Sage,Clove,Jett,Reyna,Iron,0.806277001270648
Fracture,Harbor,Sage,Clove,Jett,Reyna,Bronze,0.8031639135959339
Fracture,Harbor,Sage,Clove,Jett,Reyna,Silver,0.7977848369335028
Fracture,Harbor,Sage,Clove,Jett,Reyna,Gold,0.7950741211351122
Fracture,Harbor,Sage,Clove,Jett,Reyna,Platinum,0.7861160525201185
Fracture,Harbor,Sage,Clove,Jett,Reyna,Diamond,0.7916645489199492
Fracture,Harbor,Sage,Clove,Jett,Reyna,Ascendant,0.7992884371029224
Fracture,Harbor,Sage,Clove,Jett,Reyna,Immortal,0.7787251164760696
Fracture,Harbor,Sage,Clove,Jett,Reyna,Radiant,0.7543074968233799
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Iron,0.8104066073697587
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Bronze,0.8098136382888608
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Silver,0.8089665396018637
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Gold,0.8087547649301143
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Platinum,0.8097501058873358
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Diamond,0.8101948326980093
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Ascendant,0.81286319356205
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Immortal,0.826586192291402
Fracture,Clove,Deadlock,Phoenix,Jett,Killjoy,Radiant,0.7824523506988564
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Iron,0.8116349004659043
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Bronze,0.8090936044049133
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Silver,0.8079500211774672
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Gold,0.8089030072003388
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Platinum,0.8078229563744175
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Diamond,0.8097924608216858
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Ascendant,0.8078653113087675
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Immortal,0.8149597628123677
Fracture,Brimstone,Sage,Clove,Vyse,Reyna,Radiant,0.8343583227445998
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Iron,0.8151291825497671
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Bronze,0.8115713680643796
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Silver,0.8093265565438374
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Gold,0.8089453621346887
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Platinum,0.8087759423972891
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Diamond,0.8083735705209657
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Ascendant,0.8106395595086828
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Immortal,0.8226048284625158
Fracture,Clove,Deadlock,Jett,Reyna,Killjoy,Radiant,0.8001143583227446
Fracture,Clove,Neon,Jett,Deadlock,Sova,Iron,1.004561626429479
Fracture,Clove,Neon,Jett,Deadlock,Sova,Bronze,1.0040321897501059
Fracture,Clove,Neon,Jett,Deadlock,Sova,Silver,1.0029521389241847
Fracture,Clove,Neon,Jett,Deadlock,Sova,Gold,1.0043074968233798
Fracture,Clove,Neon,Jett,Deadlock,Sova,Platinum,1.0044133841592544
Fracture,Clove,Neon,Jett,Deadlock,Sova,Diamond,1.0085429902583651
Fracture,Clove,Neon,Jett,Deadlock,Sova,Ascendant,1.0009402795425668
Fracture,Clove,Neon,Jett,Deadlock,Sova,Immortal,1.044587039390089
Fracture,Clove,Neon,Jett,Deadlock,Sova,Radiant,0.9901821262177044
Fracture,Omen,Clove,Jett,Deadlock,Sage,Iron,0.8059593392630242
Fracture,Omen,Clove,Jett,Deadlock,Sage,Bronze,0.8017026683608641
Fracture,Omen,Clove,Jett,Deadlock,Sage,Silver,0.8003684879288437
Fracture,Omen,Clove,Jett,Deadlock,Sage,Gold,0.798864887759424
Fracture,Omen,Clove,Jett,Deadlock,Sage,Platinum,0.7991613722998729
Fracture,Omen,Clove,Jett,Deadlock,Sage,Diamond,0.7980813214739517
