Map,Agent1,Agent2,Agent3,Agent4,Agent5
Lotus,Omen,Clove,Jett,Neon,Sage
Lotus,Omen,Jett,Clove,Deadlock,Sage
Lotus,Astra,Clove,Deadlock,Reyna,Sage
Lotus,Harbor,Clove,Jett,Neon,Deadlock
Lotus,Astra,Neon,Reyna,Clove,Sage
Lotus,Astra,Clove,Gekko,Jett,Reyna
Lotus,Omen,Jett,Clove,Deadlock,Sage
Lotus,Viper,Clove,Jett,Sage,Skye
Lotus,Harbor,Clove,Reyna,Jett,Sova
Lotus,Harbor,Clove,Iso,Chamber,Jett
Lotus,Clove,Jett,Sage,Reyna,Sova
Lotus,Viper,Clove,Reyna,Jett,Breach
Lotus,Omen,Clove,Jett,Deadlock,Yoru
Lotus,Viper,Clove,Sage,Neon,Deadlock
Lotus,Brimstone,Clove,Deadlock,Jett,Sage
Lotus,Astra,Clove,Deadlock,Jett,Neon
Lotus,Brimstone,Clove,Reyna,Jett,Sage
Lotus,Omen,Clove,Deadlock,Phoenix,Jett
Lotus,Harbor,Clove,Jett,Sage,Neon
Lotus,Clove,Jett,Neon,Deadlock,Vyse
Lotus,Viper,Jett,Clove,Neon,Deadlock
Lotus,Brimstone,Clove,Jett,Sage,Reyna
Lotus,Brimstone,Clove,Deadlock,Reyna,Neon
Lotus,Harbor,Sage,Jett,Clove,Deadlock
Lotus,Viper,Clove,Reyna,Jett,Deadlock
Lotus,Brimstone,Jett,Clove,Reyna,Cypher
Lotus,Clove,Jett,Neon,Gekko,Cypher
Lotus,Astra,Reyna,Clove,Neon,Deadlock
Lotus,Viper,Deadlock,Neon,Clove,Sage
Lotus,Viper,Clove,Sage,Jett,Reyna
Lotus,Viper,Jett,Clove,Neon,Tejo
Lotus,Brimstone,Clove,Jett,Killjoy,Neon
Lotus,Astra,Jett,Deadlock,Clove,Reyna
Lotus,Astra,Clove,Jett,Skye,Reyna
Lotus,Brimstone,Jett,Clove,Neon,Sage
Lotus,Viper,Clove,Jett,Deadlock,Sage
Lotus,Brimstone,Clove,Jett,Deadlock,Sage
Lotus,Harbor,Jett,Clove,Neon,Deadlock
Lotus,Brimstone,Jett,Reyna,Clove,Sage
Lotus,Omen,Clove,Reyna,Jett,Deadlock
Lotus,Brimstone,Jett,Deadlock,Clove,Chamber
Lotus,Clove,Reyna,Sage,Chamber,Neon
Lotus,Astra,Clove,Jett,Deadlock,Sage
Lotus,Astra,Sage,Clove,Jett,Reyna
Lotus,Brimstone,Clove,Jett,Deadlock,Sage
Lotus,Viper,Clove,Iso,Jett,Sage
Lotus,Omen,Clove,Sage,Jett,Reyna
Lotus,Clove,Deadlock,Jett,Phoenix,Sage
Lotus,Harbor,Jett,Clove,Reyna,Fade
Lotus,Omen,Jett,Neon,Sage,Clove
Lotus,Omen,Clove,Jett,Neon,Deadlock
Lotus,Omen,Jett,Deadlock,Clove,Reyna
Lotus,Harbor,Reyna,Clove,Sage,Jett
Lotus,Omen,Jett,Clove,Tejo,Sage
Lotus,Omen,Clove,Jett,Reyna,Sage
Lotus,Brimstone,Reyna,Jett,Clove,Sage
Lotus,Brimstone,Clove,Jett,Cypher,Sage
Lotus,Omen,Clove,Reyna,Jett,Sage
Lotus,Omen,Clove,Jett,Reyna,Sage
Lotus,Harbor,Clove,Jett,Phoenix,Sage
Lotus,Clove,Reyna,Sage,Jett,Cypher
Lotus,Omen,Clove,Jett,Reyna,Cypher
Lotus,Clove,Reyna,Jett,Skye,Deadlock
Lotus,Clove,Deadlock,Jett,Reyna,Sage
Lotus,Harbor,Jett,Clove,Sova,Sage
Lotus,Omen,Clove,Reyna,Jett,Sova
Lotus,Viper,Clove,Jett,Sage,Deadlock
Lotus,Omen,Jett,Clove,Deadlock,Neon
Lotus,Astra,Clove,Jett,Reyna,Deadlock
Lotus,Viper,Jett,Reyna,Clove,Sova
Lotus,Astra,Clove,Jett,Reyna,Deadlock
Lotus,Astra,Deadlock,Clove,Neon,Jett
Lotus,Viper,Clove,Jett,Reyna,Sage
Lotus,Viper,Clove,Sova,Jett,Neon
Lotus,Astra,Clove,Sage,Jett,Reyna
Lotus,Brimstone,Clove,Jett,Neon,Killjoy
Lotus,Viper,Clove,Sage,Jett,Reyna
Lotus,Harbor,Clove,Sage,Reyna,Jett
Lotus,Astra,Clove,Deadlock,Reyna,Jett
Lotus,Viper,Clove,Jett,Reyna,Deadlock
Lotus,Omen,Jett,Clove,Neon,Deadlock
Lotus,Harbor,Jett,Clove,Iso,Sage
Lotus,Clove,Jett,Deadlock,Cypher,Reyna
Lotus,Brimstone,Reyna,Clove,Sage,Jett
Lotus,Clove,Deadlock,Neon,Reyna,Cypher
Lotus,Omen,Clove,Jett,Phoenix,Deadlock
